id,davids_score,observability,age
M001,89.75,1.130257689,8311
M002,-16.33333333,1.022067972,7848
M006,24.75,0.845890792,6148
M007,82.31666667,0.956251298,6031
M008,1.333333333,0.736461282,5803
M009,82.65,1.003025834,5434
M010,5.983333333,0.688457939,4382
M011,100.4166667,1.446060894,4390
M013,58.41666667,0.999388042,4005
M014,-19.83333333,0.485084939,3644
M016,-17.5,0.568166616,3309
M017,-37.4,NA,7938
M018,-30.66666667,0.469190288,7843
M019,-54.66666667,0.481757885,7577
M020,155.5666667,0.984858408,6471
M022,78.08333333,1.077158676,6125
M023,-52.15,0.519069979,5802
M024,11,2.024864056,5793
M025,-6.6,0.522020019,4369
M026,94.58333333,1.197214284,4355
M027,139.8333333,1.538814883,3976
M028,-79.43333333,0.254499092,3635
M029,-12.5,0.35314313,3642
M030,14,0.882686917,2919
M031,-88.25,0.46408658,2938
M034,-23.16666667,1.11518674,9342
M035,-136.0166667,0.830614674,7225
M036,-56.16666667,0.718585672,6862
M037,123.5,0.986261967,6872
M038,-69.18333333,0.30780591,5790
M039,6.333333333,NA,5426
M041,157.6666667,0.816733616,5102
M042,-58,1.59905847,43863
M043,-20.58333333,1.017996369,5072
M044,113.8333333,0.707751806,5061
M046,NA,NA,4366
M048,-61.16666667,0.777885027,4049
M049,7.333333333,0.659755854,3501
M053,170.75,1.011849741,8278
M055,-10.58333333,0.421039205,9313
M058,59.91666667,0.821659527,5773
M059,40.5,1.143827865,5422
M062,74.23333333,1.305735991,5109
M063,107.35,0.664048142,5079
M064,-15.75,0.52616559,5041
M066,161.6666667,0.545474361,4688
M067,48.83333333,0.616429286,4710
M068,12.5,0.385406308,4369
M069,NA,NA,4043
M071,-27.5,0.391601467,7902
M073,-3,NA,NA
M074,19.58333333,0.657005444,6504
M075,4.916666667,0.664379079,6144
M076,-61.91666667,0.716865236,5408
M077,-83.91666667,0.969933341,5069
M078,-45.25,1.381854861,5100
M080,-69.41666667,0.464713703,5084
M082,28.16666667,0.292043117,4684
M083,-66.91666667,0.871118822,4690
M085,1,0.773285015,4253
M088,-55.91666667,0.192115859,3655
M090,2.083333333,0.521199363,2944
M092,9,0.271504212,2959
M093,-60.25,0.543992999,2951
M094,65.48333333,1.022861934,7166
M095,-33.75,0.552322216,6536
M097,-15.91666667,1.168693688,6144
M098,-36.33333333,0.2467903,6174
M099,4.5,0.502288862,6161
M100,72.16666667,0.513737712,5687
M101,54.91666667,0.995682477,5754
M102,30.41666667,0.269554493,5414
M103,219.0833333,1.01180337,5399
M104,-18.41666667,0.930598044,5354
M105,-95.91666667,1.219251913,5084
M111,-60.5,0.477423374,4399
M112,-47.41666667,0.284459584,3959
M114,189.15,1.417711829,3990
M115,-11.66666667,4.093861844,3957
M116,-0.416666667,0.444434018,3991
M117,-53.5,0.942956216,4011
M120,36.16666667,0.300946378,3662
M121,-69.81666667,0.624009893,3318
M122,-10.58333333,NA,NA
M123,10,0.492176639,6491
M125,-21.1,0.568880324,5792
M126,81.75,1.032966904,5346
M128,9.25,NA,5103
M129,NA,NA,4684
M130,NA,NA,4700
M131,NA,NA,NA
M132,151.0666667,1.025286397,4730
M133,-17.41666667,1.021914774,4316
M134,-63.91666667,0.415853025,4368
M135,13.5,0.12339515,4403
M138,-127.4166667,0.749994382,3957
M139,1,0.374148834,3988
M140,-24.83333333,0.589413902,4004
M141,8.5,0.776367733,3967
M142,-8.85,0.410127781,3972
M143,74.66666667,0.886487201,3990
M145,5.416666667,0.81600054,3999
M146,-194.5166667,0.532841493,3672
M147,-29,0.356708338,3633
M148,-12.76666667,0.46081189,3673
M150,-26.91666667,0.296975821,3230
M151,6.75,0.416291011,3334
M154,13.66666667,0.383413045,2887
M155,-118.9333333,0.967654479,3320
M156,-38.66666667,0.503253271,7570
M157,-35.5,0.979243635,7240
M159,1,NA,6870
M160,-73.93333333,0.631745015,6860
M161,120.25,1.804247418,6133
M162,171.5833333,0.557848221,5802
M163,1.333333333,0.955170169,5364
M165,-54.91666667,0.468185108,5038
M166,-88.75,0.887275308,5059
M168,16.16666667,0.236887223,3696
M169,-18.33333333,0.389196546,3589
M170,-22.58333333,0.359292836,2932
M171,-5,0.200003398,2918
M172,-18.5,0.145672623,2942
M173,39.83333333,0.443406225,2918
M174,37.91666667,0.249135951,2949
M175,222.65,1.275887172,9032
M176,-57.5,0.702417486,6873
M177,-25.91666667,0.658703533,6837
M178,-3,0.284741508,6866
M179,NA,0.291716687,6875
M180,8.25,0.795206937,5801
M182,-18.35,1.028553277,5103
M183,-22.25,0.572319844,4718
M184,-16,0.12339515,NA
M185,-37,0.575919633,4335
