time,date,group,obs,action,actor1,actor2,actor3,recipient1,recipient2,recipient3,context,response,agg_supp,intromission,pe,ejaculation,thrust_number,prox_10m_af,prox_10m_ef,prox_10m_all
10:45:26,3/13/2023,1,CC,Ag,M198,M242,,M176,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
10:51:40,3/13/2023,1,CC,Ag,M143,,,M042,M080,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
11:07:08,3/13/2023,1,CC,M,M145,,,FUN,,,R,NA,No Value,NA,PE,NA,4,14,No Value,21
12:42:22,3/13/2023,1,CC,M,M042,,,FUN,,,Gr,NA,No Value,NA,PE,NA,4,3,No Value,5
12:45:06,3/13/2023,1,CC,M,M042,,,FUN,,,R,NA,No Value,NA,NA,NA,NA,NA,No Value,NA
13:13:23,3/13/2023,1,CC,Ag,M192,,,JVUN,JVUN,JVUN,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
13:15:54,3/13/2023,1,CC,Ag,FUN,,,M146,M192,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
13:17:47,3/13/2023,1,CC,Ag,M038,,,M121,M224,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
13:54:32,3/13/2023,1,CC,Ag,M150,,,M093,M192,M097,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
13:57:40,3/13/2023,1,CC,M,M093,,,M097,,,Co-Ag,NA,No Value,NA,PE,NA,3,2,No Value,5
7:49:04,3/14/2023,1,CC,M,M049,,,FUN,,,Gr,NA,No Value,NA,PE,NA,4,3,No Value,3
7:50:03,3/14/2023,1,CC,M,M049,,,FUN,,,Gr,NA,No Value,NA,PE,NA,3,3,No Value,3
7:50:46,3/14/2023,1,CC,M,M049,,,FUN,,,Gr,NA,No Value,NA,PE,NA,2,3,No Value,3
7:51:15,3/14/2023,1,CC,M,M049,,,FUN,,,Gr,NA,No Value,NA,PE,NA,5,3,No Value,3
7:52:39,3/14/2023,1,CC,M,M049,,,FUN,,,R,NA,No Value,NA,PE,NA,5,0,No Value,3
7:53:17,3/14/2023,1,CC,M,M049,,,FUN,,,R,NA,No Value,NA,PE,Ejac,5,3,No Value,3
7:54:10,3/14/2023,1,CC,M,M049,,,FUN,,,R,NA,No Value,Intro,PE,Ejac,11,3,No Value,3
8:14:31,3/14/2023,1,CC,Ag,M029,M162,,M034,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
8:17:53,3/14/2023,1,CC,M,M141,,,M221,,,R,NA,No Value,NA,NA,NA,2,9,No Value,23
8:25:41,3/14/2023,1,CC,Ag,M147,,,M112,M168,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:41:35,3/14/2023,1,CC,M,M080,,,FUN,,,NA,IgnoreRejection,No Value,NA,NA,NA,No Value,No Value,No Value,No Value
8:42:11,3/14/2023,1,CC,M,M080,,,FUN,,,NA,IgnoreRejection,No Value,NA,NA,NA,No Value,No Value,No Value,No Value
8:42:32,3/14/2023,1,CC,M,M080,,,FUN,,,R,NA,No Value,NoIntro,NoPE,NoEjac,4,4,No Value,4
8:42:51,3/14/2023,1,CC,M,M080,,,FUN,,,R,NA,No Value,NoIntro,NoPE,NoEjac,3,4,No Value,4
8:43:10,3/14/2023,1,CC,M,M080,,,M154,,,R,NA,No Value,NoIntro,NoPE,NoEjac,2,4,No Value,4
8:56:17,3/14/2023,1,CC,Ag,M100,M013,M064,M242,M059,,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:59:07,3/14/2023,1,CC,M,M037,,,FUN,,,R,NA,No Value,NA,PE,NA,3,2,No Value,2
9:00:03,3/14/2023,1,CC,M,M037,,,FUN,,,R,NA,No Value,NA,PE,NA,4,2,No Value,2
9:00:20,3/14/2023,1,CC,M,M037,,,FUN,,,R,NA,No Value,NA,PE,NA,7,2,No Value,2
9:00:38,3/14/2023,1,CC,M,M037,,,FUN,,,R,NA,No Value,NA,PE,NA,4,2,No Value,2
9:00:55,3/14/2023,1,CC,M,M037,,,FUN,,,R,NA,No Value,NA,PE,NA,2,2,No Value,2
9:01:24,3/14/2023,1,CC,M,M037,,,FUN,,,R,NA,No Value,NA,PE,Ejac,6,2,No Value,2
9:11:18,3/14/2023,1,CC,Ag,M151,,,M026,M121,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
9:17:38,3/14/2023,1,CC,M,M221,,,FUN,,,R,NA,No Value,NA,NA,NA,NA,NA,No Value,NA
9:18:58,3/14/2023,1,CC,Ag,M145,M140,,FUN,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
9:21:29,3/14/2023,1,CC,M,M145,,,M140,,,Co-Ag,NA,No Value,NA,2PE,NA,6,1,No Value,9
10:42:44,3/14/2023,1,CC,Ag,M252,M151,,FUN,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
10:59:22,3/14/2023,1,CC,Ag,M074,,,M151,M133,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
11:06:33,3/14/2023,1,CC,M,M194,,,FUN,,,Aff,NA,No Value,NA,NA,NA,5,5,No Value,7
11:07:13,3/14/2023,1,CC,M,M194,,,FUN,,,Aff,NA,No Value,NA,NA,NA,2,5,No Value,7
11:07:53,3/14/2023,1,CC,M,M194,,,FUN,,,Aff,NA,No Value,NA,NA,NA,6,5,No Value,7
11:28:28,3/14/2023,1,CC,M,M066,,,FUN,,,R,NA,No Value,NA,NA,NA,4,2,No Value,4
12:50:32,3/14/2023,1,CC,Ag,M102,,,M101,M242,FUN,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
13:03:35,3/14/2023,1,CC,M,M143,,,FUN,,,NA,IgnoreRejection,No Value,NA,NA,NA,No Value,No Value,No Value,No Value
13:48:04,3/14/2023,1,CC,Ag,M112,,,FUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
13:57:34,3/14/2023,1,CC,Ag,M042,,,FUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:32:29,3/15/2023,1,CC,M,M066,,,FUN,,,R,NA,No Value,NA,PE,NA,5,1,No Value,1
8:35:35,3/15/2023,1,CC,M,M208,,,FUN,,,R,NA,No Value,NA,NA,NA,5,1,No Value,1
8:55:59,3/15/2023,1,CC,Ag,M145,,,FUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:58:11,3/15/2023,1,CC,M,M207,,,FUN,,,R,NA,No Value,NA,PE,Ejac,13,9,No Value,14
8:59:20,3/15/2023,1,CC,Ag,M198,M029,M112,M076,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
9:02:31,3/15/2023,1,CC,M,M093,,,FUN,,,NA,IgnoreRejection,No Value,NA,PE,NA,7,5,No Value,8
9:03:39,3/15/2023,1,CC,Ag,M101,M198,M162,M075,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
9:16:57,3/15/2023,1,CC,Ag,M066,M082,M143,M076,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
9:19:12,3/15/2023,1,CC,M,M082,,,FUN,,,Co-Ag,NA,No Value,NA,PE,Ejac,5,12,No Value,21
9:22:12,3/15/2023,1,CC,Ag,M066,M143,,M102,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
9:25:28,3/15/2023,1,CC,Ag,M100,,,M209,M022,M042,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
10:04:33,3/15/2023,1,CC,Ag,M099,,,M034,M242,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
10:36:44,3/15/2023,1,CC,Ag,M074,M121,M151,M080,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
13:14:35,3/15/2023,1,CC,Ag,M102,M194,M099,FUN,FUN,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
13:52:50,3/15/2023,1,CC,Ag,FUN,FUN,,M150,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
13:58:31,3/15/2023,1,CC,Ag,M112,,,FUN,FUN,FUN,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
7:57:03,3/16/2023,1,CC,Ag,M083,,,FUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:05:50,3/16/2023,1,CC,Ag,M006,M066,,M101,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
8:10:18,3/16/2023,1,CC,M,M162,,,FUN,,,R,NA,No Value,NA,NA,NA,5,NA,NA,NA
8:10:43,3/16/2023,1,CC,M,M162,,,FUN,,,R,NA,No Value,NA,PE,Ejac,5,NA,NA,NA
8:11:15,3/16/2023,1,CC,M,M143,,,FUN,,,R,NA,No Value,NA,PE,NA,4,NA,NA,NA
8:12:06,3/16/2023,1,CC,M,M140,,,FUN,,,R,NA,No Value,NA,PE,Ejac,5,NA,NA,NA
8:12:57,3/16/2023,1,CC,M,M140,,,FUN,,,R,NA,No Value,NA,NA,NA,2,NA,NA,NA
8:13:21,3/16/2023,1,CC,M,M140,,,FUN,,,R,NA,No Value,NA,NA,NA,6,NA,NA,NA
8:14:01,3/16/2023,1,CC,M,M207,,,FUN,,,R,NA,No Value,NA,PE,NA,3,NA,NA,NA
8:15:36,3/16/2023,1,CC,M,M207,,,FUN,,,R,NA,No Value,NA,PE,NA,4,NA,NA,NA
8:22:16,3/16/2023,1,CC,Ag,M112,M242,,FUN,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
8:28:38,3/16/2023,1,CC,Ag,M006,M133,M173,M223,M066,,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:30:47,3/16/2023,1,CC,M,M133,,,M173,,,Co-Ag,NA,No Value,NA,2PE,NA,4,4,0,5
8:35:27,3/16/2023,1,CC,M,M027,,,FUN,,,R,NA,No Value,NA,NA,NA,3,3,0,5
8:35:43,3/16/2023,1,CC,M,M027,,,FUN,,,R,NA,No Value,NA,PE,NA,4,3,0,5
8:36:32,3/16/2023,1,CC,M,M027,,,FUN,,,R,NA,No Value,NA,PE,NA,5,3,0,5
8:37:01,3/16/2023,1,CC,M,M027,,,FUN,,,R,NA,No Value,Intro,PE,Ejac,7,3,0,5
8:37:26,3/16/2023,1,CC,M,M027,,,FUN,,,R,NA,No Value,NA,PE,NA,7,3,0,5
8:39:05,3/16/2023,1,CC,M,M027,,,FUN,,,R,NA,No Value,Intro,PE,Ejac,11,3,0,5
9:04:49,3/16/2023,1,CC,M,M064,,,FUN,,,R,NA,No Value,NA,NA,NA,5,NA,NA,NA
9:05:56,3/16/2023,1,CC,Ag,M083,,,FUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
9:15:39,3/16/2023,1,CC,M,M221,,,FUN,,,R,NA,No Value,NA,NA,NA,3,NA,NA,NA
9:24:05,3/16/2023,1,CC,Ag,M006,M168,M076,M205,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
10:33:09,3/16/2023,1,CC,Ag,M042,M027,M101,M223,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
10:37:43,3/16/2023,1,CC,M,M002,,,FUN,,,NA,IgnoreRejection,No Value,NA,NA,NA,No Value,No Value,No Value,No Value
8:04:18,3/17/2023,1,CC,Ag,M066,M095,,M011,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
8:07:13,3/17/2023,1,CC,Ag,M097,,,FUN,FUN,FUN,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:08:26,3/17/2023,1,CC,M,M223,,,FUN,,,R,NA,No Value,NA,NA,NA,NA,NA,NA,NA
8:09:17,3/17/2023,1,CC,Ag,M176,,,FUN,JVUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:12:41,3/17/2023,1,CC,Ag,M034,,,FUN,JVUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:13:05,3/17/2023,1,CC,Ag,FUN,,,M066,M075,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:33:10,3/17/2023,1,CC,M,M146,,,FUN,,,R,NA,No Value,NA,NA,NA,2,NA,NA,NA
8:34:14,3/17/2023,1,CC,M,M011,,,FUN,,,R,NA,No Value,NA,PE,NA,11,NA,NA,NA
8:34:31,3/17/2023,1,CC,M,M146,,,FUN,,,NA,NA,No Value,NA,PE,NA,7,NA,NA,NA
8:42:53,3/17/2023,1,CC,Ag,M027,,,FUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
