time,date,group,obs,action,actor1,actor2,actor3,recipient1,recipient2,recipient3,context,response,agg_supp,intromission,pe,ejaculation,thrust_number,prox_10m_af,prox_10m_ef,prox_10m_all,notes,IOR
10:27:25,3/13/2023,1,CC,Ag,M100,NA,NA,M066,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:29:50,3/13/2023,1,CC,Ag,M066,NA,NA,M080,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:37:25,3/13/2023,1,CC,Ag,M223,NA,NA,M097,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:45:26,3/13/2023,1,CC,Ag,M198,M242,NA,M176,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:51:40,3/13/2023,1,CC,Ag,M143,NA,NA,M042,M080,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:58:23,3/13/2023,1,CC,Ag,M026,NA,NA,M147,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:17:47,3/13/2023,1,CC,Ag,M038,NA,NA,M121,M224,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:47:11,3/13/2023,1,CC,Ag,M099,NA,NA,M121,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:54:32,3/13/2023,1,CC,Ag,M150,NA,NA,M093,M192,M097,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:57:40,3/13/2023,1,CC,M,M093,NA,NA,M097,NA,NA,Co-Ag,NA,No Value,NA,PE,NA,3,2,No Value,5,NA,NA
8:11:23,3/14/2023,1,CC,Ag,M074,NA,NA,M059,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:14:31,3/14/2023,1,CC,Ag,M029,M162,NA,M034,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:17:53,3/14/2023,1,CC,M,M141,NA,NA,M221,NA,NA,R,NA,No Value,NA,NA,NA,2,9,No Value,23,NA,NA
8:25:41,3/14/2023,1,CC,Ag,M147,NA,NA,M112,M168,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:32:57,3/14/2023,1,CC,Ag,M140,NA,NA,M026,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:36:45,3/14/2023,1,CC,Ag,M209,NA,NA,M080,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:39:24,3/14/2023,1,CC,Ag,M202,NA,NA,M147,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:43:10,3/14/2023,1,CC,M,M080,NA,NA,M154,NA,NA,R,NA,No Value,NoIntro,NoPE,NoEjac,2,4,No Value,4,NA,NA
8:47:14,3/14/2023,1,CC,Ag,M143,NA,NA,M202,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:56:17,3/14/2023,1,CC,Ag,M100,M013,M064,M242,M059,NA,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:11:18,3/14/2023,1,CC,Ag,M151,NA,NA,M026,M121,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:21:29,3/14/2023,1,CC,M,M145,NA,NA,M140,NA,NA,Co-Ag,NA,No Value,NA,2PE,NA,6,1,No Value,9,NA,NA
