time,date,group,obs,action,actor1,actor2,actor3,recipient1,recipient2,recipient3,context,response,agg_supp,intromission,pe,ejaculation,thrust_number,prox_10m_af,prox_10m_ef,prox_10m_all,notes,IOR
10:45:26,3/13/2023,1,CC,Ag,M198,M242,NA,M176,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:51:40,3/13/2023,1,CC,Ag,M143,NA,NA,M042,M080,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:15:54,3/13/2023,1,CC,Ag,M303,NA,NA,M146,M192,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:17:47,3/13/2023,1,CC,Ag,M038,NA,NA,M121,M224,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:54:32,3/13/2023,1,CC,Ag,M150,NA,NA,M093,M192,M097,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:14:31,3/14/2023,1,CC,Ag,M029,M162,NA,M034,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:25:41,3/14/2023,1,CC,Ag,M147,NA,NA,M112,M168,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:56:17,3/14/2023,1,CC,Ag,M100,M013,M064,M242,M059,NA,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:11:18,3/14/2023,1,CC,Ag,M151,NA,NA,M026,M121,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:18:58,3/14/2023,1,CC,Ag,M145,M140,NA,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:42:44,3/14/2023,1,CC,Ag,M252,M151,NA,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:59:22,3/14/2023,1,CC,Ag,M074,NA,NA,M151,M133,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
12:50:32,3/14/2023,1,CC,Ag,M102,NA,NA,M101,M242,M303,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:59:20,3/15/2023,1,CC,Ag,M198,M029,M112,M076,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:03:39,3/15/2023,1,CC,Ag,M101,M198,M162,M075,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:16:57,3/15/2023,1,CC,Ag,M066,M082,M143,M076,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:22:12,3/15/2023,1,CC,Ag,M066,M143,NA,M102,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:25:28,3/15/2023,1,CC,Ag,M100,NA,NA,M209,M022,M042,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:04:33,3/15/2023,1,CC,Ag,M099,NA,NA,M034,M242,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:36:44,3/15/2023,1,CC,Ag,M074,M121,M151,M080,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:14:35,3/15/2023,1,CC,Ag,M102,M194,M099,M303,M303,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:05:50,3/16/2023,1,CC,Ag,M006,M066,NA,M101,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:22:16,3/16/2023,1,CC,Ag,M112,M242,NA,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:28:38,3/16/2023,1,CC,Ag,M006,M133,M173,M223,M066,NA,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:24:05,3/16/2023,1,CC,Ag,M006,M168,M076,M205,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:33:09,3/16/2023,1,CC,Ag,M042,M027,M101,M223,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:04:18,3/17/2023,1,CC,Ag,M066,M095,NA,M011,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:13:05,3/17/2023,1,CC,Ag,M303,NA,NA,M066,M075,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:01:27,3/17/2023,1,CC,Ag,M066,M162,NA,M146,M095,M157,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:04:03,3/17/2023,1,CC,Ag,M143,NA,NA,M095,M146,M014,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:09:31,3/17/2023,1,CC,Ag,M174,NA,NA,M038,M088,M090,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:30:00,3/18/2023,2,AK,Ag,M225,M210,M211,M245,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
7:46:17,3/19/2023,1,CC,Ag,M202,NA,NA,M133,M162,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
