time,date,group,obs,action,actor1,actor2,actor3,recipient1,recipient2,recipient3,context,response,agg_supp,intromission,pe,ejaculation,thrust_number,prox_10m_af,prox_10m_ef,prox_10m_all,notes,IOR
10:32:53,3/13/2023,1,CC,Gr,M066,NA,NA,M038,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:57:40,3/13/2023,1,CC,M,M093,NA,NA,M097,NA,NA,Co-Ag,NA,No Value,NA,PE,NA,3,2,No Value,5,NA,NA
8:17:53,3/14/2023,1,CC,M,M141,NA,NA,M221,NA,NA,R,NA,No Value,NA,NA,NA,2,9,No Value,23,NA,NA
8:43:10,3/14/2023,1,CC,M,M080,NA,NA,M154,NA,NA,R,NA,No Value,NoIntro,NoPE,NoEjac,2,4,No Value,4,NA,NA
9:21:29,3/14/2023,1,CC,M,M145,NA,NA,M140,NA,NA,Co-Ag,NA,No Value,NA,2PE,NA,6,1,No Value,9,NA,NA
8:30:47,3/16/2023,1,CC,M,M133,NA,NA,M173,NA,NA,Co-Ag,NA,No Value,NA,2PE,NA,4,4,0,5,NA,NA
8:56:20,3/16/2023,1,CC,Gr,M198,NA,NA,M121,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:48:59,3/17/2023,1,CC,M,M173,NA,NA,M242,NA,NA,Co-Ag,NA,No Value,NA,PE,NA,4,NA,NA,NA,NA,NA
8:49:27,3/17/2023,1,CC,M,M173,NA,NA,M242,NA,NA,R,NA,No Value,NA,PE,NA,9,NA,NA,NA,NA,NA
8:53:45,3/17/2023,1,CC,M,M133,NA,NA,M173,NA,NA,NA,IgnoreRejection,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:56:02,3/17/2023,1,CC,M,M198,NA,NA,M066,NA,NA,R,NA,No Value,NA,PE,Ejac,11,NA,NA,NA,NA,NA
10:16:07,3/17/2023,1,CC,M,M049,NA,NA,M146,NA,NA,R,NA,No Value,NA,2PE,NA,5,10,0,23,NA,NA
8:51:54,3/19/2023,1,CC,M,M168,NA,NA,M162,NA,NA,R,NA,No Value,Intro,2PE,Ejac,7,1,0,1,NA,NA
8:52:40,3/19/2023,1,CC,M,M168,NA,NA,M202,NA,NA,R,NA,No Value,Intro,2PE,NA,12,1,0,1,NA,NA
12:18:38,3/19/2023,2,AK,Gr,M182,NA,NA,M268,NA,NA,NA,NA,No Value,NA,PE,NoEjac,No Value,No Value,No Value,No Value,NA,NA
12:25:25,3/19/2023,1,CC,Gr,M151,NA,NA,M105,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
12:29:22,3/19/2023,1,CC,M,M151,NA,NA,M105,NA,NA,Gr,NA,No Value,NA,PE,NA,2,2,0,6,NA,NA
12:40:11,3/19/2023,2,AK,M,M212,NA,NA,M246,NA,NA,Gr,NA,No Value,NA,PE,NA,4,0,0,2,NA,NA
12:47:15,3/19/2023,2,AK,M,M212,NA,NA,M246,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,App issue did not save counts/ status,NA
12:47:31,3/19/2023,2,AK,Gr,M246,NA,NA,M212,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
12:49:35,3/19/2023,2,AK,M,M212,NA,NA,M246,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,App issue did not save counts/ status,NA
13:15:26,3/19/2023,1,CC,M,M223,NA,NA,M116,NA,NA,Gr,NA,No Value,Intro,PE,NoEjac,7,NA,NA,NA,NA,NA
13:16:23,3/19/2023,1,CC,Gr,M223,NA,NA,M116,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:34:00,3/19/2023,1,CC,M,M208,NA,NA,M037,NA,NA,Gr,NA,No Value,NA,NA,NA,10,NA,NA,NA,NA,NA
13:35:05,3/19/2023,1,CC,Gr,M208,NA,NA,M037,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
7:54:26,3/20/2023,2,AK,Gr,M043,NA,NA,M219,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
7:56:41,3/20/2023,2,AK,Gr,M219,NA,NA,M043,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
12:36:40,3/20/2023,1,CC,Gr,M192,NA,NA,M168,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
12:40:24,3/20/2023,1,CC,M,M192,NA,NA,M168,NA,NA,Gr,NA,No Value,NA,NA,NA,2,3,0,8,NA,NA
12:40:51,3/20/2023,1,CC,Gr,M192,NA,NA,M168,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:02:59,3/20/2023,2,AK,Gr,M245,NA,NA,M041,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:08:38,3/20/2023,2,AK,M,M041,NA,NA,M245,NA,NA,Gr,NA,No Value,NoIntro,PE,NoEjac,3,0,0,0,NA,NA
